parameter,S1_def,ST_def,S1_stress,ST_stress
Vf,0.09143294991078768,0.1312437805981954,0.00104912437391788,0.0007838505105817303
theta,0.3361762558297047,0.427163919347573,0.08580995628022284,0.10508347287929938
F,0.4644422262442592,0.5592681594763702,0.8934617547109595,0.9122519084835805
